,lineup,allocation
0,"James Harden,Russell Westbrook,Khris Middleton,Aaron Gordon,Marcus Smart,Markelle Fultz",0.06942008705840111
1,"James Harden,Russell Westbrook,Hassan Whiteside,Gordon Hayward,Marcus Smart,Markelle Fultz",0.03452456887566157
2,"Anthony Davis,Damian Lillard,Khris Middleton,CJ McCollum,Ja Morant,Eric Bledsoe",0.026985105745502162
3,"LeBron James,Damian Lillard,Khris Middleton,Aaron Gordon,Kemba Walker,Markelle Fultz",0.029073988742425932
4,"Giannis Antetokounmpo,Russell Westbrook,Jonas Valanciunas,Aaron Gordon,Coby White,Markelle Fultz",0.06942704546051111
5,"Giannis Antetokounmpo,Damian Lillard,Jonas Valanciunas,CJ McCollum,Kemba Walker,Terrence Ross",0.04066252875363463
6,"Giannis Antetokounmpo,Nikola Vucevic,Khris Middleton,Aaron Gordon,Robert Covington,Eric Bledsoe",0.032754393251700126
7,"James Harden,Nikola Vucevic,Hassan Whiteside,CJ McCollum,Kemba Walker,Terrence Ross",0.04421202933746572
8,"James Harden,Jayson Tatum,Hassan Whiteside,Aaron Gordon,Kemba Walker,Eric Bledsoe",0.012483921272607326
9,"LeBron James,Nikola Vucevic,Hassan Whiteside,CJ McCollum,Marcus Smart,Markelle Fultz",0.09612675520847645
10,"Anthony Davis,Russell Westbrook,Hassan Whiteside,Aaron Gordon,Kemba Walker,Carmelo Anthony",0.04438557998550228
11,"Giannis Antetokounmpo,Damian Lillard,Jonas Valanciunas,CJ McCollum,Ja Morant,Carmelo Anthony",0.0513422940291051
12,"Giannis Antetokounmpo,Nikola Vucevic,Khris Middleton,Gordon Hayward,Kemba Walker,Eric Bledsoe",0.014959433193135906
13,"Giannis Antetokounmpo,Nikola Vucevic,Khris Middleton,CJ McCollum,Ja Morant,Terrence Ross",0.11289449605947034
14,"Giannis Antetokounmpo,Jayson Tatum,Khris Middleton,Aaron Gordon,Ja Morant,Eric Bledsoe",0.0615013340810263
15,"LeBron James,Damian Lillard,Hassan Whiteside,Aaron Gordon,Coby White,Carmelo Anthony",0.10218910765519207
